Id;MSSubClass;MSZoning;Neighborhood;OverallQual;RoofStyle;BsmtQual;HeatingQC;CentralAir;1stFlrSF;GrLivArea;BsmtFullBath;KitchenQual;GarageType;GarageFinish;GarageCars;PavedDrive;SalePrice
1;60;RL;CollgCr;7;Gable;Gd;Ex;Y;856;1710;1;Gd;Attchd;RFn;2;Y;208500
2;20;RL;Veenker;6;Gable;Gd;Ex;Y;1262;1262;0;TA;Attchd;RFn;2;Y;181500
3;60;RL;CollgCr;7;Gable;Gd;Ex;Y;920;1786;1;Gd;Attchd;RFn;2;Y;223500
4;70;RL;Crawfor;7;Gable;TA;Gd;Y;961;1717;1;Gd;Detchd;Unf;3;Y;140000
5;60;RL;NoRidge;8;Gable;Gd;Ex;Y;1145;2198;1;Gd;Attchd;RFn;3;Y;250000
6;50;RL;Mitchel;5;Gable;Gd;Ex;Y;796;1362;1;TA;Attchd;Unf;2;Y;143000
7;20;RL;Somerst;8;Gable;Ex;Ex;Y;1694;1694;1;Gd;Attchd;RFn;2;Y;307000
8;60;RL;NWAmes;7;Gable;Gd;Ex;Y;1107;2090;1;TA;Attchd;RFn;2;Y;200000
9;50;RM;OldTown;7;Gable;TA;Gd;Y;1022;1774;0;TA;Detchd;Unf;2;Y;129900
10;190;RL;BrkSide;5;Gable;TA;Ex;Y;1077;1077;1;TA;Attchd;RFn;1;Y;118000
11;20;RL;Sawyer;5;Hip;TA;Ex;Y;1040;1040;1;TA;Detchd;Unf;1;Y;129500
12;60;RL;NridgHt;9;Hip;Ex;Ex;Y;1182;2324;1;Ex;BuiltIn;Fin;3;Y;345000
13;20;RL;Sawyer;5;Hip;TA;TA;Y;912;912;1;TA;Detchd;Unf;1;Y;144000
14;20;RL;CollgCr;7;Gable;Gd;Ex;Y;1494;1494;0;Gd;Attchd;RFn;3;Y;279500
15;20;RL;NAmes;6;Hip;TA;TA;Y;1253;1253;1;TA;Attchd;RFn;1;Y;157000
16;45;RM;BrkSide;7;Gable;TA;Ex;Y;854;854;0;TA;Detchd;Unf;2;Y;132000
17;20;RL;NAmes;6;Gable;TA;Ex;Y;1004;1004;1;TA;Attchd;Fin;2;Y;149000
18;90;RL;Sawyer;4;Gable;;TA;Y;1296;1296;0;TA;CarPort;Unf;2;Y;90000
19;20;RL;SawyerW;5;Gable;TA;Ex;Y;1114;1114;1;Gd;Detchd;Unf;2;Y;159000
20;20;RL;NAmes;5;Hip;TA;TA;Y;1339;1339;0;TA;Attchd;Unf;1;Y;139000
21;60;RL;NridgHt;8;Gable;Ex;Ex;Y;1158;2376;0;Gd;BuiltIn;RFn;3;Y;325300
22;45;RM;IDOTRR;7;Gable;TA;Ex;Y;1108;1108;0;Gd;Attchd;Unf;1;N;139400
23;20;RL;CollgCr;8;Hip;Gd;Ex;Y;1795;1795;0;Gd;Attchd;RFn;2;Y;230000
24;120;RM;MeadowV;5;Gable;Gd;TA;Y;1060;1060;1;TA;Attchd;Unf;2;Y;129900
25;20;RL;Sawyer;5;Gable;TA;Ex;Y;1060;1060;1;Gd;Attchd;Unf;1;Y;154000
